day_of_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,0.030102347983142687,0.04577916132576451,0.037292560134253215,0.14262428687856563,0.34047128393513126,0.22941041523285155,0.11995425000697409,0.10832847990681421,0.11435105774728416,0.1910424950149849,0.21472429641603438,0.21169916434540392,0.18993248064994236,0.20780849112460384,0.14727887549632981,0.12549191612753877,0.13372366185984313,0.09060120370170632,0.11914480506586059,0.10225878289324183,0.007392804337111878,0.004911229526311912,0.0,0.013070186903672723
Tuesday,0.0072971395213076475,0.03578777847365125,0.10240178737665238,0.26438885499288184,0.1837897445322551,0.23080030004039004,0.07972179841381112,0.054374233554686596,0.06067383648995908,0.13645340834280928,0.3350184320176755,0.2810611446853893,0.22072388649740843,0.24784295558515257,0.18560771749796068,0.20801148320702617,0.16123948306379263,0.19104270238586282,0.17351841964762413,0.15699674462632465,0.022202486678507993,0.01965650261677191,0.0024970035956851776,0.03351431061063074
Wednesday,0.007517101405697962,0.036483035388544326,0.05516226900799853,0.06149431177616071,0.054924935920908094,0.022939725870275852,0.01252853722367615,0.019741273195996008,0.0214160787159871,0.07289326514028967,0.10916113863464606,0.1290035587188612,0.12173855822064292,0.14895325427949682,0.13187330742964795,0.12644991853707171,0.1234821979831241,0.1518734677051919,0.163128540881335,0.12469676015144988,0.0,0.002466395363176717,0.00497363970953944,0.026430553720100437
Thursday,0.0073969968192913686,0.018157058556513842,0.009149967975112087,0.17011908335835085,0.10608203677510608,0.15958962667426616,0.07926059270802548,0.06363780995022614,0.06291579769075721,0.10115861906722344,0.2840102243680772,0.29657678164944845,0.25971506778455505,0.2319572831141988,0.23087921618264068,0.1880223685966253,0.17772296978709512,0.23409558903218813,0.20557938016711616,0.20775781374854455,0.02720348204570185,0.01991684716309408,0.0,0.012980269989615784
Friday,0.014663831659212553,0.04547521600727603,0.02818489289740699,0.16142050040355124,0.22820629849383844,0.2859757492564631,0.12061388307385175,0.13052548160406494,0.13572721211543956,0.21277860326894502,0.2464979258101365,0.286781379218354,0.2401515819159249,0.2480239215595373,0.20530267480056313,0.21139324030401527,0.1946748567144688,0.21256290126670135,0.20938484935311102,0.17942171002691326,0.004968326915911067,0.004942420797706717,0.017712102426558032,0.03340459647247462
Saturday,0.029904306220095694,0.10835214446952596,0.07427351220870856,0.06989515726410385,0.11970534069981582,0.1638881039841763,0.07296958682692439,0.10793370781300776,0.09368181386965183,0.10811719904376343,0.18124422359055609,0.16853375632001588,0.16828535917375187,0.15151338562487618,0.14708285667592744,0.09625342674383186,0.10991001872093725,0.1141110106360074,0.10603516833082972,0.11593016912165847,0.012320429736589214,0.014790711433219937,0.0,0.0
Sunday,0.0,0.05369608018614641,0.04675081813931744,0.21063189568706117,0.2613554434030281,0.29006938914799224,0.14193583948847976,0.14299498936256788,0.14017248342876149,0.19790648322563723,0.43599413870138604,0.406974820500943,0.3172651524299876,0.33727597315748464,0.2412345533021936,0.23935423205148557,0.15378146212530786,0.13670391667570794,0.11523290342596287,0.08221993833504625,0.02471760140395976,0.044097111639187635,0.007495128166691651,0.01950331556364582
